transaction_id,order_id,order_date,customer_id,product_id,quantity,unit_price,discount,sales_amount,cost_amount,profit,payment_method,region_id
TXN-100047,ORD-10015,2025-07-07,CUST-00012,PRD-1186,2,1169.0,0.1,2104.2,1320.56,783.64,UPI,REG-03
TXN-100048,ORD-10015,2025-07-07,CUST-00012,PRD-1529,1,480.0,0.05,456.0,193.27,262.73,UPI,REG-03
TXN-100049,ORD-10015,2025-07-07,CUST-00012,PRD-1336,2,399.0,0.0,798.0,472.54,325.46,UPI,REG-03
TXN-100050,ORD-10015,2025-07-07,CUST-00012,PRD-1729,1,260.0,0.15,221.0,153.56,67.44,UPI,REG-03
TXN-100051,ORD-10016,2025-03-04,CUST-00013,PRD-1452,1,1030.0,0.05,978.5,579.35,399.15,UPI,REG-03
TXN-100052,ORD-10016,2025-03-04,CUST-00013,PRD-1944,2,400.0,0.2,640.0,503.96,136.04,UPI,REG-03
TXN-100053,ORD-10016,2025-03-04,CUST-00013,PRD-1701,1,640.0,0.1,576.0,398.01,177.99,UPI,REG-03
TXN-100054,ORD-10016,2025-03-04,CUST-00013,PRD-1710,1,900.0,0.0,900.0,561.18,338.82,UPI,REG-03
TXN-100055,ORD-10016,2025-03-04,CUST-00013,PRD-1185,1,1159.0,0.0,1159.0,516.14,642.86,UPI,REG-03
TXN-100056,ORD-10017,2025-11-24,CUST-00014,PRD-2188,1,770.0,0.1,693.0,419.71,273.29,Credit Card,REG-02
TXN-100057,ORD-10017,2025-11-24,CUST-00014,PRD-1951,1,300.0,0.0,300.0,205.63,94.37,Credit Card,REG-02
TXN-100058,ORD-10017,2025-11-24,CUST-00014,PRD-1867,1,690.0,0.0,690.0,440.11,249.89,Credit Card,REG-02
TXN-100059,ORD-10017,2025-11-24,CUST-00014,PRD-1296,1,589.0,0.1,530.1,297.22,232.88,Credit Card,REG-02
TXN-100060,ORD-10018,2024-04-01,CUST-00015,PRD-1521,1,520.0,0.0,520.0,257.38,262.62,Credit Card,REG-01
TXN-100061,ORD-10018,2024-04-01,CUST-00015,PRD-1117,1,1039.0,0.1,935.1,751.07,184.03,Credit Card,REG-01
TXN-100062,ORD-10018,2024-04-01,CUST-00015,PRD-1524,1,700.0,0.05,665.0,399.26,265.74,Credit Card,REG-01
TXN-100063,ORD-10018,2024-04-01,CUST-00015,PRD-1124,1,1379.0,0.15,1172.15,884.9,287.25,Credit Card,REG-01
TXN-100064,ORD-10018,2024-04-01,CUST-00015,PRD-1541,1,540.0,0.05,513.0,245.72,267.28,Credit Card,REG-01
TXN-100065,ORD-10019,2024-09-05,CUST-00016,PRD-1661,1,789.0,0.2,631.2,395.12,236.08,Credit Card,REG-01
TXN-100066,ORD-10019,2024-09-05,CUST-00016,PRD-1357,1,230.0,0.0,230.0,133.6,96.4,Credit Card,REG-01
TXN-100067,ORD-10020,2024-08-09,CUST-00017,PRD-1478,1,630.0,0.1,567.0,252.28,314.72,Debit Card,REG-05
TXN-100068,ORD-10020,2024-08-09,CUST-00017,PRD-1998,1,210.0,0.05,199.5,158.3,41.2,Debit Card,REG-05
TXN-100069,ORD-10021,2024-04-20,CUST-00018,PRD-1092,1,2029.0,0.15,1724.65,1393.39,331.26,Debit Card,REG-01
TXN-100070,ORD-10021,2024-04-20,CUST-00018,PRD-1872,2,540.0,0.1,972.0,523.56,448.44,Debit Card,REG-01
TXN-100071,ORD-10021,2024-04-20,CUST-00018,PRD-1145,1,759.0,0.1,683.1,495.29,187.81,Debit Card,REG-01
TXN-100072,ORD-10021,2024-04-20,CUST-00018,PRD-1032,1,1229.0,0.0,1229.0,835.29,393.71,Debit Card,REG-01
TXN-100073,ORD-10021,2024-04-20,CUST-00018,PRD-1158,1,859.0,0.1,773.1,584.03,189.07,Debit Card,REG-01
TXN-100074,ORD-10022,2025-01-12,CUST-00018,PRD-1830,1,370.0,0.05,351.5,220.24,131.26,Net Banking,REG-01
TXN-100075,ORD-10022,2025-01-12,CUST-00018,PRD-1373,1,780.0,0.1,702.0,479.84,222.16,Net Banking,REG-01
TXN-100076,ORD-10022,2025-01-12,CUST-00018,PRD-1993,1,350.0,0.05,332.5,218.18,114.32,Net Banking,REG-01
TXN-100077,ORD-10023,2025-08-03,CUST-00019,PRD-1508,1,430.0,0.0,430.0,201.08,228.92,Debit Card,REG-05
TXN-100078,ORD-10023,2025-08-03,CUST-00019,PRD-1019,1,799.0,0.0,799.0,568.49,230.51,Debit Card,REG-05
TXN-100079,ORD-10024,2024-11-08,CUST-00020,PRD-1757,1,880.0,0.1,792.0,449.29,342.71,UPI,REG-05
TXN-100080,ORD-10024,2024-11-08,CUST-00020,PRD-1094,1,499.0,0.1,449.1,376.45,72.65,UPI,REG-05
TXN-100081,ORD-10025,2025-02-17,CUST-00020,PRD-1868,1,300.0,0.0,300.0,150.86,149.14,Credit Card,REG-05
TXN-100082,ORD-10025,2025-02-17,CUST-00020,PRD-1143,2,259.0,0.0,518.0,363.78,154.22,Credit Card,REG-05
TXN-100083,ORD-10026,2024-12-02,CUST-00021,PRD-1311,2,549.0,0.1,988.2,469.54,518.66,Credit Card,REG-01
TXN-100084,ORD-10026,2024-12-02,CUST-00021,PRD-1824,1,480.0,0.0,480.0,229.04,250.96,Credit Card,REG-01
TXN-100085,ORD-10027,2025-11-27,CUST-00021,PRD-2129,1,770.0,0.05,731.5,492.78,238.72,Debit Card,REG-01
TXN-100086,ORD-10027,2025-11-27,CUST-00021,PRD-1336,1,399.0,0.0,399.0,236.27,162.73,Debit Card,REG-01
TXN-100087,ORD-10027,2025-11-27,CUST-00021,PRD-1933,1,270.0,0.1,243.0,161.21,81.79,Debit Card,REG-01
TXN-100088,ORD-10027,2025-11-27,CUST-00021,PRD-1162,1,2159.0,0.0,2159.0,1467.77,691.23,Debit Card,REG-01
TXN-100089,ORD-10028,2025-11-15,CUST-00022,PRD-1897,1,590.0,0.0,590.0,329.66,260.34,Debit Card,REG-01
TXN-100090,ORD-10028,2025-11-15,CUST-00022,PRD-1672,1,479.0,0.0,479.0,300.84,178.16,Debit Card,REG-01
TXN-100091,ORD-10028,2025-11-15,CUST-00022,PRD-1164,1,1979.0,0.1,1781.1,1329.5,451.6,Debit Card,REG-01
TXN-100092,ORD-10029,2025-07-19,CUST-00023,PRD-1269,2,559.0,0.05,1062.1,505.84,556.26,Net Banking,REG-03
TXN-100093,ORD-10029,2025-07-19,CUST-00023,PRD-1112,2,359.0,0.05,682.1,530.66,151.44,Net Banking,REG-03
TXN-100094,ORD-10029,2025-07-19,CUST-00023,PRD-1349,1,1260.0,0.1,1134.0,832.18,301.82,Net Banking,REG-03
TXN-100095,ORD-10029,2025-07-19,CUST-00023,PRD-1173,1,559.0,0.0,559.0,411.73,147.27,Net Banking,REG-03
TXN-100096,ORD-10030,2024-10-07,CUST-00024,PRD-1655,1,1329.0,0.15,1129.65,677.39,452.26,Credit Card,REG-01
TXN-100097,ORD-10030,2024-10-07,CUST-00024,PRD-2209,1,380.0,0.0,380.0,220.53,159.47,Credit Card,REG-01
TXN-100098,ORD-10031,2024-09-16,CUST-00025,PRD-1011,1,439.0,0.1,395.1,284.72,110.38,UPI,REG-01
TXN-100099,ORD-10031,2024-09-16,CUST-00025,PRD-1527,1,160.0,0.05,152.0,61.79,90.21,UPI,REG-01
TXN-100100,ORD-10031,2024-09-16,CUST-00025,PRD-1566,1,650.0,0.0,650.0,350.19,299.81,UPI,REG-01
TXN-100101,ORD-10031,2024-09-16,CUST-00025,PRD-2058,1,560.0,0.0,560.0,358.09,201.91,UPI,REG-01
TXN-100102,ORD-10032,2024-09-18,CUST-00025,PRD-1487,2,170.0,0.0,340.0,149.92,190.08,UPI,REG-01
TXN-100103,ORD-10032,2024-09-18,CUST-00025,PRD-1531,1,790.0,0.0,790.0,316.38,473.62,UPI,REG-01
TXN-100104,ORD-10033,2025-06-30,CUST-00026,PRD-1447,1,720.0,0.05,684.0,439.86,244.14,UPI,REG-05
TXN-100105,ORD-10033,2025-06-30,CUST-00026,PRD-1236,1,729.0,0.1,656.1,346.65,309.45,UPI,REG-05
TXN-100106,ORD-10033,2025-06-30,CUST-00026,PRD-1048,1,719.0,0.0,719.0,517.94,201.06,UPI,REG-05
TXN-100107,ORD-10034,2025-10-14,CUST-00027,PRD-1377,2,480.0,0.1,864.0,570.9,293.1,Net Banking,REG-03
TXN-100108,ORD-10034,2025-10-14,CUST-00027,PRD-1045,1,2159.0,0.05,2051.05,1402.52,648.53,Net Banking,REG-03
TXN-100109,ORD-10034,2025-10-14,CUST-00027,PRD-1538,1,770.0,0.0,770.0,413.6,356.4,Net Banking,REG-03
TXN-100110,ORD-10034,2025-10-14,CUST-00027,PRD-1273,1,349.0,0.0,349.0,157.94,191.06,Net Banking,REG-03
TXN-100111,ORD-10035,2024-08-25,CUST-00028,PRD-1519,1,570.0,0.05,541.5,252.3,289.2,EMI / PayLater,REG-04
TXN-100112,ORD-10035,2024-08-25,CUST-00028,PRD-1114,1,979.0,0.0,979.0,666.08,312.92,EMI / PayLater,REG-04
TXN-100113,ORD-10035,2024-08-25,CUST-00028,PRD-2089,2,370.0,0.05,703.0,411.36,291.64,EMI / PayLater,REG-04
TXN-100114,ORD-10036,2024-12-20,CUST-00028,PRD-2024,1,680.0,0.0,680.0,307.69,372.31,Credit Card,REG-04
TXN-100115,ORD-10036,2024-12-20,CUST-00028,PRD-1161,1,979.0,0.0,979.0,722.98,256.02,Credit Card,REG-04
TXN-100116,ORD-10036,2024-12-20,CUST-00028,PRD-1309,2,489.0,0.05,929.1,428.82,500.28,Credit Card,REG-04
TXN-100117,ORD-10037,2025-11-17,CUST-00028,PRD-1615,1,1299.0,0.1,1169.1,641.05,528.05,UPI,REG-04
TXN-100118,ORD-10037,2025-11-17,CUST-00028,PRD-1081,1,219.0,0.1,197.1,151.05,46.05,UPI,REG-04
TXN-100119,ORD-10037,2025-11-17,CUST-00028,PRD-1320,1,589.0,0.0,589.0,306.93,282.07,UPI,REG-04
TXN-100120,ORD-10038,2025-10-18,CUST-00029,PRD-1218,1,889.0,0.0,889.0,449.27,439.73,UPI,REG-03
TXN-100121,ORD-10038,2025-10-18,CUST-00029,PRD-2060,1,210.0,0.05,199.5,111.0,88.5,UPI,REG-03
TXN-100122,ORD-10038,2025-10-18,CUST-00029,PRD-1966,1,150.0,0.0,150.0,96.04,53.96,UPI,REG-03
TXN-100123,ORD-10039,2024-12-11,CUST-00030,PRD-1573,1,290.0,0.05,275.5,128.17,147.33,UPI,REG-01
TXN-100124,ORD-10039,2024-12-11,CUST-00030,PRD-1503,3,250.0,0.15,637.5,397.02,240.48,UPI,REG-01
TXN-100125,ORD-10039,2024-12-11,CUST-00030,PRD-2086,2,220.0,0.0,440.0,252.54,187.46,UPI,REG-01
TXN-100126,ORD-10040,2025-01-31,CUST-00030,PRD-2089,1,370.0,0.15,314.5,205.68,108.82,Credit Card,REG-01
TXN-100127,ORD-10040,2025-01-31,CUST-00030,PRD-2158,1,900.0,0.05,855.0,612.89,242.11,Credit Card,REG-01
TXN-100128,ORD-10040,2025-01-31,CUST-00030,PRD-1107,1,419.0,0.15,356.15,273.28,82.87,Credit Card,REG-01
TXN-100129,ORD-10041,2025-04-29,CUST-00031,PRD-1136,2,469.0,0.0,938.0,670.68,267.32,UPI,REG-01
TXN-100130,ORD-10041,2025-04-29,CUST-00031,PRD-1699,1,410.0,0.0,410.0,264.42,145.58,UPI,REG-01
TXN-100131,ORD-10041,2025-04-29,CUST-00031,PRD-1528,1,290.0,0.1,261.0,141.38,119.62,UPI,REG-01
TXN-100132,ORD-10042,2025-11-01,CUST-00032,PRD-1016,1,709.0,0.0,709.0,501.52,207.48,EMI / PayLater,REG-01
TXN-100133,ORD-10042,2025-11-01,CUST-00032,PRD-1053,1,2019.0,0.1,1817.1,1364.69,452.41,EMI / PayLater,REG-01
TXN-100134,ORD-10043,2025-11-08,CUST-00032,PRD-2014,1,270.0,0.0,270.0,181.41,88.59,Credit Card,REG-01
TXN-100135,ORD-10043,2025-11-08,CUST-00032,PRD-1988,1,130.0,0.0,130.0,78.4,51.6,Credit Card,REG-01
TXN-100136,ORD-10043,2025-11-08,CUST-00032,PRD-1322,1,319.0,0.05,303.05,182.95,120.1,Credit Card,REG-01
TXN-100137,ORD-10044,2024-01-17,CUST-00033,PRD-2019,1,170.0,0.1,153.0,113.15,39.85,UPI,REG-01
TXN-100138,ORD-10044,2024-01-17,CUST-00033,PRD-1590,2,509.0,0.1,916.2,583.16,333.04,UPI,REG-01
TXN-100139,ORD-10045,2024-07-20,CUST-00033,PRD-1895,1,580.0,0.1,522.0,347.0,175.0,Credit Card,REG-01
TXN-100140,ORD-10045,2024-07-20,CUST-00033,PRD-1398,1,820.0,0.05,779.0,487.55,291.45,Credit Card,REG-01
TXN-100141,ORD-10045,2024-07-20,CUST-00033,PRD-1096,1,1539.0,0.1,1385.1,1110.38,274.72,Credit Card,REG-01
TXN-100142,ORD-10046,2025-01-20,CUST-00033,PRD-1405,1,760.0,0.0,760.0,419.79,340.21,UPI,REG-01
TXN-100143,ORD-10046,2025-01-20,CUST-00033,PRD-1431,1,620.0,0.1,558.0,334.79,223.21,UPI,REG-01
TXN-100144,ORD-10046,2025-01-20,CUST-00033,PRD-1539,2,590.0,0.1,1062.0,479.72,582.28,UPI,REG-01
TXN-100145,ORD-10047,2025-07-30,CUST-00033,PRD-1090,1,229.0,0.05,217.55,150.7,66.85,Debit Card,REG-01
TXN-100146,ORD-10047,2025-07-30,CUST-00033,PRD-2203,1,440.0,0.1,396.0,288.0,108.0,Debit Card,REG-01
TXN-100147,ORD-10048,2025-12-15,CUST-00034,PRD-1211,1,269.0,0.1,242.1,116.89,125.21,Credit Card,REG-01
TXN-100148,ORD-10048,2025-12-15,CUST-00034,PRD-1169,2,519.0,0.1,934.2,670.04,264.16,Credit Card,REG-01
TXN-100149,ORD-10049,2025-07-15,CUST-00035,PRD-1511,3,490.0,0.0,1470.0,655.92,814.08,UPI,REG-01
TXN-100150,ORD-10049,2025-07-15,CUST-00035,PRD-1523,1,440.0,0.2,352.0,179.55,172.45,UPI,REG-01
TXN-100151,ORD-10050,2025-08-09,CUST-00035,PRD-1412,1,200.0,0.0,200.0,109.78,90.22,Credit Card,REG-01
TXN-100152,ORD-10050,2025-08-09,CUST-00035,PRD-1841,1,140.0,0.15,119.0,74.96,44.04,Credit Card,REG-01
TXN-100153,ORD-10050,2025-08-09,CUST-00035,PRD-1499,1,650.0,0.0,650.0,293.74,356.26,Credit Card,REG-01
TXN-100154,ORD-10051,2025-10-21,CUST-00036,PRD-1611,1,1229.0,0.1,1106.1,712.91,393.19,Cash on Delivery,REG-04
TXN-100155,ORD-10051,2025-10-21,CUST-00036,PRD-1767,1,820.0,0.0,820.0,433.16,386.84,Cash on Delivery,REG-04
TXN-100156,ORD-10052,2025-03-04,CUST-00037,PRD-1022,2,1169.0,0.0,2338.0,1742.04,595.96,Debit Card,REG-04
TXN-100157,ORD-10052,2025-03-04,CUST-00037,PRD-1562,2,350.0,0.05,665.0,326.12,338.88,Debit Card,REG-04
TXN-100158,ORD-10052,2025-03-04,CUST-00037,PRD-2009,1,410.0,0.05,389.5,294.1,95.4,Debit Card,REG-04
TXN-100159,ORD-10052,2025-03-04,CUST-00037,PRD-1015,1,1699.0,0.1,1529.1,1267.73,261.37,Debit Card,REG-04
TXN-100160,ORD-10053,2025-11-23,CUST-00037,PRD-1373,1,780.0,0.05,741.0,479.84,261.16,Debit Card,REG-04
TXN-100161,ORD-10053,2025-11-23,CUST-00037,PRD-2078,1,840.0,0.0,840.0,426.67,413.33,Debit Card,REG-04
TXN-100162,ORD-10053,2025-11-23,CUST-00037,PRD-1318,1,729.0,0.1,656.1,358.41,297.69,Debit Card,REG-04
TXN-100163,ORD-10053,2025-11-23,CUST-00037,PRD-1433,1,800.0,0.1,720.0,538.85,181.15,Debit Card,REG-04
TXN-100164,ORD-10054,2024-09-12,CUST-00038,PRD-2183,2,560.0,0.0,1120.0,630.22,489.78,UPI,REG-02
TXN-100165,ORD-10054,2024-09-12,CUST-00038,PRD-1169,1,519.0,0.1,467.1,335.02,132.08,UPI,REG-02
TXN-100166,ORD-10054,2024-09-12,CUST-00038,PRD-1056,1,1139.0,0.05,1082.05,844.61,237.44,UPI,REG-02
TXN-100167,ORD-10055,2025-07-31,CUST-00039,PRD-1975,1,260.0,0.1,234.0,182.6,51.4,Credit Card,REG-01
TXN-100168,ORD-10055,2025-07-31,CUST-00039,PRD-1988,1,130.0,0.05,123.5,78.4,45.1,Credit Card,REG-01
TXN-100169,ORD-10056,2024-03-15,CUST-00040,PRD-1448,1,1030.0,0.0,1030.0,595.06,434.94,Cash on Delivery,REG-04
TXN-100170,ORD-10056,2024-03-15,CUST-00040,PRD-1496,1,540.0,0.15,459.0,231.34,227.66,Cash on Delivery,REG-04
TXN-100171,ORD-10056,2024-03-15,CUST-00040,PRD-1943,3,140.0,0.0,420.0,291.03,128.97,Cash on Delivery,REG-04
TXN-100172,ORD-10057,2025-01-07,CUST-00041,PRD-1789,1,420.0,0.1,378.0,176.7,201.3,UPI,REG-04
TXN-100173,ORD-10057,2025-01-07,CUST-00041,PRD-1232,1,1079.0,0.05,1025.05,483.4,541.65,UPI,REG-04
TXN-100174,ORD-10058,2025-11-24,CUST-00042,PRD-1015,1,1699.0,0.0,1699.0,1267.73,431.27,UPI,REG-02
TXN-100175,ORD-10058,2025-11-24,CUST-00042,PRD-1456,1,760.0,0.1,684.0,406.56,277.44,UPI,REG-02
TXN-100176,ORD-10058,2025-11-24,CUST-00042,PRD-1975,1,260.0,0.1,234.0,182.6,51.4,UPI,REG-02
TXN-100177,ORD-10059,2024-06-25,CUST-00043,PRD-2026,2,850.0,0.1,1530.0,899.36,630.64,UPI,REG-03
TXN-100178,ORD-10059,2024-06-25,CUST-00043,PRD-2133,1,800.0,0.0,800.0,443.91,356.09,UPI,REG-03
TXN-100179,ORD-10059,2024-06-25,CUST-00043,PRD-2003,1,210.0,0.0,210.0,134.17,75.83,UPI,REG-03
TXN-100180,ORD-10060,2025-09-13,CUST-00044,PRD-1573,1,290.0,0.0,290.0,128.17,161.83,UPI,REG-04
TXN-100181,ORD-10060,2025-09-13,CUST-00044,PRD-1417,1,290.0,0.0,290.0,196.79,93.21,UPI,REG-04
TXN-100182,ORD-10060,2025-09-13,CUST-00044,PRD-1845,2,460.0,0.1,828.0,524.66,303.34,UPI,REG-04
TXN-100183,ORD-10061,2025-10-08,CUST-00045,PRD-1791,1,460.0,0.15,391.0,254.14,136.86,UPI,REG-01
TXN-100184,ORD-10061,2025-10-08,CUST-00045,PRD-1524,1,700.0,0.05,665.0,399.26,265.74,UPI,REG-01
TXN-100185,ORD-10061,2025-10-08,CUST-00045,PRD-1074,2,299.0,0.05,568.1,404.92,163.18,UPI,REG-01
TXN-100186,ORD-10062,2025-12-31,CUST-00045,PRD-2078,1,840.0,0.0,840.0,426.67,413.33,UPI,REG-01
TXN-100187,ORD-10062,2025-12-31,CUST-00045,PRD-1430,1,1230.0,0.05,1168.5,755.55,412.95,UPI,REG-01
TXN-100188,ORD-10063,2024-08-09,CUST-00046,PRD-1328,2,669.0,0.0,1338.0,798.7,539.3,UPI,REG-01
TXN-100189,ORD-10063,2024-08-09,CUST-00046,PRD-1636,1,269.0,0.05,255.55,157.52,98.03,UPI,REG-01
TXN-100190,ORD-10063,2024-08-09,CUST-00046,PRD-1695,1,180.0,0.05,171.0,91.61,79.39,UPI,REG-01
TXN-100191,ORD-10063,2024-08-09,CUST-00046,PRD-1179,1,279.0,0.0,279.0,184.93,94.07,UPI,REG-01
TXN-100192,ORD-10064,2024-02-13,CUST-00047,PRD-1945,3,240.0,0.0,720.0,502.62,217.38,Credit Card,REG-04
TXN-100193,ORD-10064,2024-02-13,CUST-00047,PRD-1256,1,809.0,0.0,809.0,413.62,395.38,Credit Card,REG-04
TXN-100194,ORD-10065,2024-03-14,CUST-00047,PRD-1158,2,859.0,0.0,1718.0,1168.06,549.94,UPI,REG-04
TXN-100195,ORD-10065,2024-03-14,CUST-00047,PRD-1375,1,410.0,0.0,410.0,276.58,133.42,UPI,REG-04
TXN-100196,ORD-10065,2024-03-14,CUST-00047,PRD-1777,1,400.0,0.05,380.0,208.0,172.0,UPI,REG-04
TXN-100197,ORD-10066,2024-05-27,CUST-00048,PRD-2151,1,680.0,0.15,578.0,385.11,192.89,Credit Card,REG-05
TXN-100198,ORD-10066,2024-05-27,CUST-00048,PRD-1900,1,400.0,0.05,380.0,192.38,187.62,Credit Card,REG-05
TXN-100199,ORD-10066,2024-05-27,CUST-00048,PRD-2103,1,750.0,0.05,712.5,480.62,231.88,Credit Card,REG-05
TXN-100200,ORD-10066,2024-05-27,CUST-00048,PRD-1119,1,929.0,0.05,882.55,647.32,235.23,Credit Card,REG-05
TXN-100201,ORD-10067,2025-05-18,CUST-00049,PRD-1061,1,269.0,0.05,255.55,180.21,75.34,UPI,REG-03
TXN-100202,ORD-10067,2025-05-18,CUST-00049,PRD-1547,1,130.0,0.2,104.0,65.68,38.32,UPI,REG-03
TXN-100203,ORD-10067,2025-05-18,CUST-00049,PRD-1257,1,1149.0,0.1,1034.1,635.4,398.7,UPI,REG-03
TXN-100204,ORD-10068,2025-11-28,CUST-00049,PRD-1931,1,360.0,0.0,360.0,177.74,182.26,UPI,REG-03
