product_id,product_name,category,subcategory,brand,unit_cost,unit_price,demand_weight
PRD-1048,Zebronics Smart Home Device V50,Electronics,Smart Home Devices,Zebronics,517.94,719.0,1.45
PRD-1049,Logitech Wearables & Smartwatche V50,Electronics,Wearables & Smartwatches,Logitech,668.56,989.0,1.45
PRD-1050,Boat Audio & Headphone V19,Electronics,Audio & Headphones,Boat,910.68,1199.0,1.45
PRD-1051,Realme Smart Home Device V18,Electronics,Smart Home Devices,Realme,435.72,639.0,1.45
PRD-1052,Portronics Wearables & Smartwatche V48,Electronics,Wearables & Smartwatches,Portronics,584.6,829.0,1.45
PRD-1053,Zebronics Smart Home Device V94,Electronics,Smart Home Devices,Zebronics,1364.69,2019.0,1.45
PRD-1054,Sony Audio & Headphone V29,Electronics,Audio & Headphones,Sony,823.14,1129.0,1.45
PRD-1055,Logitech Mobile Accessorie V91,Electronics,Mobile Accessories,Logitech,677.06,1019.0,1.45
PRD-1056,Zebronics Mobile Accessorie V21,Electronics,Mobile Accessories,Zebronics,844.61,1139.0,1.45
PRD-1057,JBL Cables & Adapter V26,Electronics,Cables & Adapters,JBL,142.13,209.0,1.45
PRD-1058,Logitech Cables & Adapter V81,Electronics,Cables & Adapters,Logitech,1187.75,1639.0,1.45
PRD-1059,Noise Audio & Headphone V79,Electronics,Audio & Headphones,Noise,1556.07,2079.0,1.45
PRD-1060,Portronics Audio & Headphone V49,Electronics,Audio & Headphones,Portronics,425.29,649.0,1.45
PRD-1061,Boat Mobile Accessorie V23,Electronics,Mobile Accessories,Boat,180.21,269.0,1.45
PRD-1062,Zebronics Mobile Accessorie V29,Electronics,Mobile Accessories,Zebronics,242.21,339.0,1.45
PRD-1063,Sony Wearables & Smartwatche V13,Electronics,Wearables & Smartwatches,Sony,357.22,479.0,1.45
PRD-1064,Portronics Wearables & Smartwatche V41,Electronics,Wearables & Smartwatches,Portronics,244.21,339.0,1.45
PRD-1065,Sony Mobile Accessorie V70,Electronics,Mobile Accessories,Sony,177.97,239.0,1.45
PRD-1066,Realme Wearables & Smartwatche V39,Electronics,Wearables & Smartwatches,Realme,242.91,359.0,1.45
PRD-1067,Boat Wearables & Smartwatche V18,Electronics,Wearables & Smartwatches,Boat,228.29,339.0,1.45
PRD-1068,Portronics Mobile Accessorie V78,Electronics,Mobile Accessories,Portronics,613.01,809.0,1.45
PRD-1069,Boat Mobile Accessorie V43,Electronics,Mobile Accessories,Boat,1434.64,2169.0,1.45
PRD-1070,Noise Audio & Headphone V65,Electronics,Audio & Headphones,Noise,564.73,769.0,1.45
PRD-1071,Zebronics Smart Home Device V15,Electronics,Smart Home Devices,Zebronics,1391.24,2099.0,1.45
PRD-1072,JBL Cables & Adapter V95,Electronics,Cables & Adapters,JBL,1493.08,2119.0,1.45
PRD-1073,Portronics Wearables & Smartwatche V89,Electronics,Wearables & Smartwatches,Portronics,877.33,1169.0,1.45
PRD-1074,Noise Mobile Accessorie V62,Electronics,Mobile Accessories,Noise,202.46,299.0,1.45
PRD-1075,JBL Mobile Accessorie V95,Electronics,Mobile Accessories,JBL,257.92,389.0,1.45
PRD-1076,Sony Computer Peripheral V10,Electronics,Computer Peripherals,Sony,528.61,749.0,1.45
PRD-1077,Logitech Mobile Accessorie V51,Electronics,Mobile Accessories,Logitech,1410.63,1979.0,1.45
PRD-1078,OnePlus Computer Peripheral V31,Electronics,Computer Peripherals,OnePlus,480.08,689.0,1.45
PRD-1079,Noise Cables & Adapter V21,Electronics,Cables & Adapters,Noise,699.31,979.0,1.45
PRD-1080,Logitech Wearables & Smartwatche V41,Electronics,Wearables & Smartwatches,Logitech,899.46,1399.0,1.45
PRD-1081,SanDisk Computer Peripheral V90,Electronics,Computer Peripherals,SanDisk,151.05,219.0,1.45
PRD-1082,Realme Smart Home Device V28,Electronics,Smart Home Devices,Realme,226.34,329.0,1.45
PRD-1083,Boat Cables & Adapter V64,Electronics,Cables & Adapters,Boat,372.38,499.0,1.45
PRD-1084,Sony Wearables & Smartwatche V81,Electronics,Wearables & Smartwatches,Sony,305.43,439.0,1.45
PRD-1085,Noise Wearables & Smartwatche V81,Electronics,Wearables & Smartwatches,Noise,769.8,1069.0,1.45
PRD-1086,Portronics Smart Home Device V74,Electronics,Smart Home Devices,Portronics,363.18,509.0,1.45
PRD-1087,Zebronics Computer Peripheral V67,Electronics,Computer Peripherals,Zebronics,482.45,649.0,1.45
PRD-1088,Realme Mobile Accessorie V72,Electronics,Mobile Accessories,Realme,219.26,299.0,1.45
PRD-1089,Realme Cables & Adapter V44,Electronics,Cables & Adapters,Realme,403.9,599.0,1.45
PRD-1090,Portronics Mobile Accessorie V59,Electronics,Mobile Accessories,Portronics,150.7,229.0,1.45
PRD-1091,Sony Cables & Adapter V79,Electronics,Cables & Adapters,Sony,150.87,219.0,1.45
PRD-1092,JBL Computer Peripheral V84,Electronics,Computer Peripherals,JBL,1393.39,2029.0,1.45
PRD-1093,Boat Cables & Adapter V10,Electronics,Cables & Adapters,Boat,321.57,469.0,1.45
PRD-1094,Logitech Mobile Accessorie V63,Electronics,Mobile Accessories,Logitech,376.45,499.0,1.45
PRD-1095,Zebronics Smart Home Device V44,Electronics,Smart Home Devices,Zebronics,355.58,509.0,1.45
PRD-1096,OnePlus Computer Peripheral V61,Electronics,Computer Peripherals,OnePlus,1110.38,1539.0,1.45
PRD-1097,Sony Cables & Adapter V78,Electronics,Cables & Adapters,Sony,393.24,519.0,1.45
PRD-1098,JBL Audio & Headphone V64,Electronics,Audio & Headphones,JBL,636.42,979.0,1.45
PRD-1099,OnePlus Wearables & Smartwatche V68,Electronics,Wearables & Smartwatches,OnePlus,991.07,1459.0,1.45
PRD-1100,Portronics Mobile Accessorie V63,Electronics,Mobile Accessories,Portronics,240.25,329.0,1.45
PRD-1101,Noise Mobile Accessorie V54,Electronics,Mobile Accessories,Noise,671.45,1039.0,1.45
PRD-1102,Noise Wearables & Smartwatche V41,Electronics,Wearables & Smartwatches,Noise,313.39,429.0,1.45
PRD-1103,Boat Wearables & Smartwatche V24,Electronics,Wearables & Smartwatches,Boat,487.08,699.0,1.45
PRD-1104,Realme Smart Home Device V87,Electronics,Smart Home Devices,Realme,491.99,719.0,1.45
PRD-1105,Noise Smart Home Device V84,Electronics,Smart Home Devices,Noise,175.43,259.0,1.45
PRD-1106,Logitech Audio & Headphone V35,Electronics,Audio & Headphones,Logitech,780.26,1139.0,1.45
PRD-1107,SanDisk Audio & Headphone V48,Electronics,Audio & Headphones,SanDisk,273.28,419.0,1.45
PRD-1108,SanDisk Cables & Adapter V15,Electronics,Cables & Adapters,SanDisk,339.09,479.0,1.45
PRD-1109,Zebronics Mobile Accessorie V53,Electronics,Mobile Accessories,Zebronics,552.86,789.0,1.45
PRD-1110,JBL Audio & Headphone V91,Electronics,Audio & Headphones,JBL,180.52,239.0,1.45
PRD-1111,Sony Computer Peripheral V44,Electronics,Computer Peripherals,Sony,777.78,1029.0,1.45
PRD-1112,Zebronics Smart Home Device V85,Electronics,Smart Home Devices,Zebronics,265.33,359.0,1.45
PRD-1113,Portronics Mobile Accessorie V67,Electronics,Mobile Accessories,Portronics,318.05,489.0,1.45
PRD-1114,OnePlus Wearables & Smartwatche V73,Electronics,Wearables & Smartwatches,OnePlus,666.08,979.0,1.45
PRD-1115,Sony Mobile Accessorie V45,Electronics,Mobile Accessories,Sony,522.71,779.0,1.45
PRD-1116,Logitech Smart Home Device V40,Electronics,Smart Home Devices,Logitech,589.34,889.0,1.45
PRD-1117,JBL Cables & Adapter V92,Electronics,Cables & Adapters,JBL,751.07,1039.0,1.45
PRD-1118,OnePlus Cables & Adapter V61,Electronics,Cables & Adapters,OnePlus,377.5,559.0,1.45
PRD-1119,Realme Cables & Adapter V77,Electronics,Cables & Adapters,Realme,647.32,929.0,1.45
PRD-1120,JBL Mobile Accessorie V68,Electronics,Mobile Accessories,JBL,265.38,389.0,1.45
PRD-1121,Logitech Mobile Accessorie V25,Electronics,Mobile Accessories,Logitech,417.1,629.0,1.45
PRD-1122,Zebronics Cables & Adapter V71,Electronics,Cables & Adapters,Zebronics,291.05,439.0,1.45
PRD-1123,SanDisk Mobile Accessorie V22,Electronics,Mobile Accessories,SanDisk,255.43,379.0,1.45
PRD-1124,Logitech Wearables & Smartwatche V78,Electronics,Wearables & Smartwatches,Logitech,884.9,1379.0,1.45
PRD-1125,Logitech Wearables & Smartwatche V26,Electronics,Wearables & Smartwatches,Logitech,843.15,1249.0,1.45
PRD-1126,OnePlus Cables & Adapter V71,Electronics,Cables & Adapters,OnePlus,815.01,1209.0,1.45
PRD-1127,Portronics Computer Peripheral V71,Electronics,Computer Peripherals,Portronics,940.41,1249.0,1.45
PRD-1128,Noise Audio & Headphone V16,Electronics,Audio & Headphones,Noise,428.6,599.0,1.45
PRD-1129,Sony Wearables & Smartwatche V41,Electronics,Wearables & Smartwatches,Sony,343.97,529.0,1.45
PRD-1130,Zebronics Audio & Headphone V38,Electronics,Audio & Headphones,Zebronics,300.57,409.0,1.45
PRD-1131,JBL Smart Home Device V64,Electronics,Smart Home Devices,JBL,623.56,839.0,1.45
PRD-1132,SanDisk Mobile Accessorie V36,Electronics,Mobile Accessories,SanDisk,691.64,949.0,1.45
PRD-1133,Realme Cables & Adapter V80,Electronics,Cables & Adapters,Realme,400.6,599.0,1.45
PRD-1134,Sony Audio & Headphone V47,Electronics,Audio & Headphones,Sony,1172.86,1649.0,1.45
PRD-1135,Realme Audio & Headphone V19,Electronics,Audio & Headphones,Realme,541.76,729.0,1.45
PRD-1136,Realme Cables & Adapter V94,Electronics,Cables & Adapters,Realme,335.34,469.0,1.45
PRD-1137,JBL Wearables & Smartwatche V44,Electronics,Wearables & Smartwatches,JBL,933.53,1419.0,1.45
PRD-1138,Noise Wearables & Smartwatche V82,Electronics,Wearables & Smartwatches,Noise,1414.99,1989.0,1.45
PRD-1139,OnePlus Mobile Accessorie V44,Electronics,Mobile Accessories,OnePlus,1367.58,1889.0,1.45
PRD-1140,Zebronics Smart Home Device V65,Electronics,Smart Home Devices,Zebronics,386.23,599.0,1.45
PRD-1141,Portronics Cables & Adapter V96,Electronics,Cables & Adapters,Portronics,379.79,569.0,1.45
PRD-1142,SanDisk Smart Home Device V44,Electronics,Smart Home Devices,SanDisk,395.65,549.0,1.45
PRD-1143,Boat Smart Home Device V66,Electronics,Smart Home Devices,Boat,181.89,259.0,1.45
PRD-1144,Sony Mobile Accessorie V21,Electronics,Mobile Accessories,Sony,257.46,349.0,1.45
PRD-1145,Portronics Computer Peripheral V30,Electronics,Computer Peripherals,Portronics,495.29,759.0,1.45
PRD-1146,JBL Mobile Accessorie V80,Electronics,Mobile Accessories,JBL,225.27,299.0,1.45
PRD-1147,OnePlus Audio & Headphone V61,Electronics,Audio & Headphones,OnePlus,947.52,1449.0,1.45
PRD-1148,Boat Smart Home Device V34,Electronics,Smart Home Devices,Boat,268.25,389.0,1.45
PRD-1149,Portronics Smart Home Device V16,Electronics,Smart Home Devices,Portronics,602.26,869.0,1.45
PRD-1150,Logitech Wearables & Smartwatche V99,Electronics,Wearables & Smartwatches,Logitech,795.77,1149.0,1.45
PRD-1151,Noise Computer Peripheral V30,Electronics,Computer Peripherals,Noise,1345.99,1829.0,1.45
PRD-1152,Zebronics Mobile Accessorie V24,Electronics,Mobile Accessories,Zebronics,1073.15,1609.0,1.45
PRD-1153,Noise Computer Peripheral V47,Electronics,Computer Peripherals,Noise,488.0,649.0,1.45
PRD-1154,Logitech Smart Home Device V68,Electronics,Smart Home Devices,Logitech,598.44,859.0,1.45
PRD-1155,Sony Smart Home Device V27,Electronics,Smart Home Devices,Sony,805.44,1149.0,1.45
PRD-1156,Logitech Audio & Headphone V74,Electronics,Audio & Headphones,Logitech,339.71,499.0,1.45
PRD-1157,Boat Mobile Accessorie V94,Electronics,Mobile Accessories,Boat,525.01,739.0,1.45
PRD-1158,Sony Computer Peripheral V79,Electronics,Computer Peripherals,Sony,584.03,859.0,1.45
PRD-1159,OnePlus Computer Peripheral V40,Electronics,Computer Peripherals,OnePlus,378.09,499.0,1.45
PRD-1160,JBL Smart Home Device V70,Electronics,Smart Home Devices,JBL,1270.47,1969.0,1.45
PRD-1161,JBL Cables & Adapter V29,Electronics,Cables & Adapters,JBL,722.98,979.0,1.45
PRD-1162,Boat Computer Peripheral V22,Electronics,Computer Peripherals,Boat,1467.77,2159.0,1.45
PRD-1163,Noise Computer Peripheral V62,Electronics,Computer Peripherals,Noise,616.96,849.0,1.45
PRD-1164,Sony Cables & Adapter V89,Electronics,Cables & Adapters,Sony,1329.5,1979.0,1.45
PRD-1165,JBL Cables & Adapter V78,Electronics,Cables & Adapters,JBL,815.77,1099.0,1.45
PRD-1166,Portronics Computer Peripheral V79,Electronics,Computer Peripherals,Portronics,788.67,1129.0,1.45
PRD-1167,SanDisk Audio & Headphone V39,Electronics,Audio & Headphones,SanDisk,1372.69,1829.0,1.45
PRD-1168,Noise Cables & Adapter V22,Electronics,Cables & Adapters,Noise,436.07,609.0,1.45
PRD-1169,Sony Computer Peripheral V17,Electronics,Computer Peripherals,Sony,335.02,519.0,1.45
PRD-1170,Portronics Mobile Accessorie V82,Electronics,Mobile Accessories,Portronics,449.69,639.0,1.45
PRD-1171,Sony Cables & Adapter V89,Electronics,Cables & Adapters,Sony,952.22,1279.0,1.45
PRD-1172,Realme Cables & Adapter V91,Electronics,Cables & Adapters,Realme,620.44,929.0,1.45
PRD-1173,OnePlus Mobile Accessorie V46,Electronics,Mobile Accessories,OnePlus,411.73,559.0,1.45
PRD-1174,Zebronics Cables & Adapter V85,Electronics,Cables & Adapters,Zebronics,1116.93,1639.0,1.45
PRD-1175,JBL Mobile Accessorie V59,Electronics,Mobile Accessories,JBL,242.78,359.0,1.45
PRD-1176,Noise Computer Peripheral V99,Electronics,Computer Peripherals,Noise,1254.18,1769.0,1.45
PRD-1177,Boat Mobile Accessorie V82,Electronics,Mobile Accessories,Boat,288.69,429.0,1.45
PRD-1178,Boat Cables & Adapter V46,Electronics,Cables & Adapters,Boat,339.63,459.0,1.45
PRD-1179,SanDisk Wearables & Smartwatche V42,Electronics,Wearables & Smartwatches,SanDisk,184.93,279.0,1.45
PRD-1180,Sony Cables & Adapter V49,Electronics,Cables & Adapters,Sony,817.3,1139.0,1.45
PRD-1181,Zara Jeans & Trouser V21,Fashion & Apparel,Jeans & Trousers,Zara,429.87,779.0,1.25
PRD-1182,Biba Ethnic Kurta V26,Fashion & Apparel,Ethnic Kurtas,Biba,428.58,949.0,1.25
PRD-1183,Biba Activewear V31,Fashion & Apparel,Activewear,Biba,426.05,729.0,1.25
PRD-1184,Puma Ethnic Kurta V53,Fashion & Apparel,Ethnic Kurtas,Puma,553.08,1169.0,1.25
PRD-1185,Puma Men's T-Shirt V38,Fashion & Apparel,Men's T-Shirts,Puma,516.14,1159.0,1.25
PRD-1186,Van Heusen Dresse V56,Fashion & Apparel,Dresses,Van Heusen,660.28,1169.0,1.25
PRD-1187,Van Heusen Men's T-Shirt V68,Fashion & Apparel,Men's T-Shirts,Van Heusen,107.97,209.0,1.25
PRD-1188,Allen Solly Ethnic Kurta V57,Fashion & Apparel,Ethnic Kurtas,Allen Solly,442.5,779.0,1.25
PRD-1189,FabIndia Men's T-Shirt V81,Fashion & Apparel,Men's T-Shirts,FabIndia,355.59,669.0,1.25
PRD-1190,FabIndia Ethnic Kurta V69,Fashion & Apparel,Ethnic Kurtas,FabIndia,453.68,849.0,1.25
PRD-1191,Allen Solly Dresse V15,Fashion & Apparel,Dresses,Allen Solly,374.41,849.0,1.25
PRD-1192,Allen Solly Men's T-Shirt V40,Fashion & Apparel,Men's T-Shirts,Allen Solly,524.23,1189.0,1.25
PRD-1193,H&M Activewear V99,Fashion & Apparel,Activewear,H&M,286.71,589.0,1.25
PRD-1194,Van Heusen Activewear V63,Fashion & Apparel,Activewear,Van Heusen,434.57,789.0,1.25
PRD-1195,Levi's Dresse V45,Fashion & Apparel,Dresses,Levi's,546.21,1029.0,1.25
PRD-1196,Biba Men's T-Shirt V40,Fashion & Apparel,Men's T-Shirts,Biba,209.52,419.0,1.25
PRD-1197,Levi's Ethnic Kurta V92,Fashion & Apparel,Ethnic Kurtas,Levi's,573.14,1179.0,1.25
PRD-1198,Zara Ethnic Kurta V25,Fashion & Apparel,Ethnic Kurtas,Zara,272.05,599.0,1.25
PRD-1199,Levi's Jeans & Trouser V86,Fashion & Apparel,Jeans & Trousers,Levi's,460.0,859.0,1.25
PRD-1200,Zara Men's T-Shirt V26,Fashion & Apparel,Men's T-Shirts,Zara,458.74,989.0,1.25
PRD-1201,FabIndia Activewear V36,Fashion & Apparel,Activewear,FabIndia,150.03,269.0,1.25
PRD-1202,FabIndia Activewear V28,Fashion & Apparel,Activewear,FabIndia,466.1,1009.0,1.25
PRD-1203,Zara Activewear V26,Fashion & Apparel,Activewear,Zara,286.02,479.0,1.25
PRD-1204,Allen Solly Activewear V13,Fashion & Apparel,Activewear,Allen Solly,439.35,999.0,1.25
PRD-1205,Zara Women's Tops & Tee V85,Fashion & Apparel,Women's Tops & Tees,Zara,314.11,559.0,1.25
PRD-1206,Zara Ethnic Kurta V63,Fashion & Apparel,Ethnic Kurtas,Zara,158.46,369.0,1.25
PRD-1207,Levi's Activewear V56,Fashion & Apparel,Activewear,Levi's,474.88,939.0,1.25
PRD-1208,Levi's Activewear V88,Fashion & Apparel,Activewear,Levi's,298.46,649.0,1.25
PRD-1209,Max Men's T-Shirt V13,Fashion & Apparel,Men's T-Shirts,Max,267.36,499.0,1.25
PRD-1210,Puma Men's T-Shirt V23,Fashion & Apparel,Men's T-Shirts,Puma,521.07,1049.0,1.25
PRD-1211,Puma Jeans & Trouser V87,Fashion & Apparel,Jeans & Trousers,Puma,116.89,269.0,1.25
PRD-1212,Levi's Women's Tops & Tee V84,Fashion & Apparel,Women's Tops & Tees,Levi's,175.15,329.0,1.25
PRD-1213,Biba Activewear V47,Fashion & Apparel,Activewear,Biba,305.44,579.0,1.25
PRD-1214,Max Jeans & Trouser V99,Fashion & Apparel,Jeans & Trousers,Max,349.84,799.0,1.25
PRD-1215,Max Men's T-Shirt V67,Fashion & Apparel,Men's T-Shirts,Max,421.55,919.0,1.25
PRD-1216,Van Heusen Women's Tops & Tee V63,Fashion & Apparel,Women's Tops & Tees,Van Heusen,270.38,539.0,1.25
PRD-1217,Levi's Dresse V42,Fashion & Apparel,Dresses,Levi's,242.41,509.0,1.25
PRD-1218,H&M Ethnic Kurta V21,Fashion & Apparel,Ethnic Kurtas,H&M,449.27,889.0,1.25
PRD-1219,Levi's Men's T-Shirt V57,Fashion & Apparel,Men's T-Shirts,Levi's,348.48,629.0,1.25
PRD-1220,Max Women's Tops & Tee V81,Fashion & Apparel,Women's Tops & Tees,Max,153.38,259.0,1.25
PRD-1221,Levi's Ethnic Kurta V64,Fashion & Apparel,Ethnic Kurtas,Levi's,351.54,609.0,1.25
PRD-1222,Zara Dresse V55,Fashion & Apparel,Dresses,Zara,617.32,1169.0,1.25
PRD-1223,Max Men's T-Shirt V38,Fashion & Apparel,Men's T-Shirts,Max,220.13,409.0,1.25
PRD-1224,Biba Men's T-Shirt V45,Fashion & Apparel,Men's T-Shirts,Biba,505.12,1039.0,1.25
PRD-1225,FabIndia Activewear V89,Fashion & Apparel,Activewear,FabIndia,577.28,1009.0,1.25
PRD-1226,Max Activewear V98,Fashion & Apparel,Activewear,Max,134.48,229.0,1.25
PRD-1227,Zara Ethnic Kurta V49,Fashion & Apparel,Ethnic Kurtas,Zara,207.12,379.0,1.25
PRD-1228,Biba Ethnic Kurta V82,Fashion & Apparel,Ethnic Kurtas,Biba,120.5,209.0,1.25
PRD-1229,Van Heusen Dresse V13,Fashion & Apparel,Dresses,Van Heusen,148.86,269.0,1.25
PRD-1230,Max Men's T-Shirt V53,Fashion & Apparel,Men's T-Shirts,Max,202.69,409.0,1.25
PRD-1231,Biba Women's Tops & Tee V82,Fashion & Apparel,Women's Tops & Tees,Biba,243.5,509.0,1.25
PRD-1232,Levi's Activewear V89,Fashion & Apparel,Activewear,Levi's,483.4,1079.0,1.25
PRD-1233,Levi's Men's T-Shirt V72,Fashion & Apparel,Men's T-Shirts,Levi's,252.86,469.0,1.25
PRD-1234,Puma Activewear V75,Fashion & Apparel,Activewear,Puma,279.41,609.0,1.25
PRD-1235,Biba Men's T-Shirt V96,Fashion & Apparel,Men's T-Shirts,Biba,296.25,629.0,1.25
PRD-1236,Puma Activewear V38,Fashion & Apparel,Activewear,Puma,346.65,729.0,1.25
PRD-1237,Zara Jeans & Trouser V37,Fashion & Apparel,Jeans & Trousers,Zara,99.12,209.0,1.25
PRD-1238,Allen Solly Women's Tops & Tee V73,Fashion & Apparel,Women's Tops & Tees,Allen Solly,215.94,489.0,1.25
PRD-1239,Van Heusen Dresse V39,Fashion & Apparel,Dresses,Van Heusen,180.23,369.0,1.25
PRD-1240,Max Activewear V19,Fashion & Apparel,Activewear,Max,581.5,1029.0,1.25
PRD-1241,Zara Jeans & Trouser V19,Fashion & Apparel,Jeans & Trousers,Zara,321.26,639.0,1.25
PRD-1242,Van Heusen Ethnic Kurta V63,Fashion & Apparel,Ethnic Kurtas,Van Heusen,421.19,769.0,1.25
PRD-1243,Levi's Ethnic Kurta V31,Fashion & Apparel,Ethnic Kurtas,Levi's,355.76,599.0,1.25
PRD-1244,Puma Activewear V21,Fashion & Apparel,Activewear,Puma,602.54,1029.0,1.25
PRD-1245,Levi's Jeans & Trouser V77,Fashion & Apparel,Jeans & Trousers,Levi's,230.91,439.0,1.25
PRD-1246,Van Heusen Men's T-Shirt V38,Fashion & Apparel,Men's T-Shirts,Van Heusen,592.49,1069.0,1.25
PRD-1247,H&M Ethnic Kurta V77,Fashion & Apparel,Ethnic Kurtas,H&M,148.98,279.0,1.25
PRD-1248,FabIndia Activewear V92,Fashion & Apparel,Activewear,FabIndia,530.69,1099.0,1.25
PRD-1249,FabIndia Women's Tops & Tee V32,Fashion & Apparel,Women's Tops & Tees,FabIndia,139.36,299.0,1.25
PRD-1250,H&M Activewear V32,Fashion & Apparel,Activewear,H&M,515.93,959.0,1.25
PRD-1251,Puma Dresse V84,Fashion & Apparel,Dresses,Puma,343.65,659.0,1.25
PRD-1252,Biba Jeans & Trouser V29,Fashion & Apparel,Jeans & Trousers,Biba,564.34,1059.0,1.25
PRD-1253,Levi's Jeans & Trouser V45,Fashion & Apparel,Jeans & Trousers,Levi's,357.01,669.0,1.25
