date,year,quarter,month,month_number,week,day,day_name
2021-02-11,2021,Q1,February,2,6,11,Thursday
2021-02-12,2021,Q1,February,2,6,12,Friday
2021-02-13,2021,Q1,February,2,6,13,Saturday
2021-02-14,2021,Q1,February,2,6,14,Sunday
2021-02-15,2021,Q1,February,2,7,15,Monday
2021-02-16,2021,Q1,February,2,7,16,Tuesday
2021-02-17,2021,Q1,February,2,7,17,Wednesday
2021-02-18,2021,Q1,February,2,7,18,Thursday
2021-02-19,2021,Q1,February,2,7,19,Friday
2021-02-20,2021,Q1,February,2,7,20,Saturday
2021-02-21,2021,Q1,February,2,7,21,Sunday
2021-02-22,2021,Q1,February,2,8,22,Monday
2021-02-23,2021,Q1,February,2,8,23,Tuesday
2021-02-24,2021,Q1,February,2,8,24,Wednesday
2021-02-25,2021,Q1,February,2,8,25,Thursday
2021-02-26,2021,Q1,February,2,8,26,Friday
2021-02-27,2021,Q1,February,2,8,27,Saturday
2021-02-28,2021,Q1,February,2,8,28,Sunday
2021-03-01,2021,Q1,March,3,9,1,Monday
2021-03-02,2021,Q1,March,3,9,2,Tuesday
2021-03-03,2021,Q1,March,3,9,3,Wednesday
2021-03-04,2021,Q1,March,3,9,4,Thursday
2021-03-05,2021,Q1,March,3,9,5,Friday
2021-03-06,2021,Q1,March,3,9,6,Saturday
2021-03-07,2021,Q1,March,3,9,7,Sunday
2021-03-08,2021,Q1,March,3,10,8,Monday
2021-03-09,2021,Q1,March,3,10,9,Tuesday
2021-03-10,2021,Q1,March,3,10,10,Wednesday
2021-03-11,2021,Q1,March,3,10,11,Thursday
2021-03-12,2021,Q1,March,3,10,12,Friday
2021-03-13,2021,Q1,March,3,10,13,Saturday
2021-03-14,2021,Q1,March,3,10,14,Sunday
2021-03-15,2021,Q1,March,3,11,15,Monday
2021-03-16,2021,Q1,March,3,11,16,Tuesday
2021-03-17,2021,Q1,March,3,11,17,Wednesday
2021-03-18,2021,Q1,March,3,11,18,Thursday
2021-03-19,2021,Q1,March,3,11,19,Friday
2021-03-20,2021,Q1,March,3,11,20,Saturday
2021-03-21,2021,Q1,March,3,11,21,Sunday
2021-03-22,2021,Q1,March,3,12,22,Monday
2021-03-23,2021,Q1,March,3,12,23,Tuesday
2021-03-24,2021,Q1,March,3,12,24,Wednesday
2021-03-25,2021,Q1,March,3,12,25,Thursday
2021-03-26,2021,Q1,March,3,12,26,Friday
2021-03-27,2021,Q1,March,3,12,27,Saturday
2021-03-28,2021,Q1,March,3,12,28,Sunday
2021-03-29,2021,Q1,March,3,13,29,Monday
2021-03-30,2021,Q1,March,3,13,30,Tuesday
2021-03-31,2021,Q1,March,3,13,31,Wednesday
2021-04-01,2021,Q2,April,4,13,1,Thursday
2021-04-02,2021,Q2,April,4,13,2,Friday
2021-04-03,2021,Q2,April,4,13,3,Saturday
2021-04-04,2021,Q2,April,4,13,4,Sunday
2021-04-05,2021,Q2,April,4,14,5,Monday
2021-04-06,2021,Q2,April,4,14,6,Tuesday
2021-04-07,2021,Q2,April,4,14,7,Wednesday
2021-04-08,2021,Q2,April,4,14,8,Thursday
2021-04-09,2021,Q2,April,4,14,9,Friday
2021-04-10,2021,Q2,April,4,14,10,Saturday
2021-04-11,2021,Q2,April,4,14,11,Sunday
2021-04-12,2021,Q2,April,4,15,12,Monday
2021-04-13,2021,Q2,April,4,15,13,Tuesday
2021-04-14,2021,Q2,April,4,15,14,Wednesday
2021-04-15,2021,Q2,April,4,15,15,Thursday
2021-04-16,2021,Q2,April,4,15,16,Friday
2021-04-17,2021,Q2,April,4,15,17,Saturday
2021-04-18,2021,Q2,April,4,15,18,Sunday
2021-04-19,2021,Q2,April,4,16,19,Monday
2021-04-20,2021,Q2,April,4,16,20,Tuesday
2021-04-21,2021,Q2,April,4,16,21,Wednesday
2021-04-22,2021,Q2,April,4,16,22,Thursday
2021-04-23,2021,Q2,April,4,16,23,Friday
2021-04-24,2021,Q2,April,4,16,24,Saturday
2021-04-25,2021,Q2,April,4,16,25,Sunday
2021-04-26,2021,Q2,April,4,17,26,Monday
2021-04-27,2021,Q2,April,4,17,27,Tuesday
2021-04-28,2021,Q2,April,4,17,28,Wednesday
2021-04-29,2021,Q2,April,4,17,29,Thursday
2021-04-30,2021,Q2,April,4,17,30,Friday
2021-05-01,2021,Q2,May,5,17,1,Saturday
2021-05-02,2021,Q2,May,5,17,2,Sunday
2021-05-03,2021,Q2,May,5,18,3,Monday
2021-05-04,2021,Q2,May,5,18,4,Tuesday
2021-05-05,2021,Q2,May,5,18,5,Wednesday
2021-05-06,2021,Q2,May,5,18,6,Thursday
2021-05-07,2021,Q2,May,5,18,7,Friday
2021-05-08,2021,Q2,May,5,18,8,Saturday
2021-05-09,2021,Q2,May,5,18,9,Sunday
2021-05-10,2021,Q2,May,5,19,10,Monday
2021-05-11,2021,Q2,May,5,19,11,Tuesday
2021-05-12,2021,Q2,May,5,19,12,Wednesday
2021-05-13,2021,Q2,May,5,19,13,Thursday
2021-05-14,2021,Q2,May,5,19,14,Friday
2021-05-15,2021,Q2,May,5,19,15,Saturday
2021-05-16,2021,Q2,May,5,19,16,Sunday
2021-05-17,2021,Q2,May,5,20,17,Monday
2021-05-18,2021,Q2,May,5,20,18,Tuesday
2021-05-19,2021,Q2,May,5,20,19,Wednesday
2021-05-20,2021,Q2,May,5,20,20,Thursday
2021-05-21,2021,Q2,May,5,20,21,Friday
2021-05-22,2021,Q2,May,5,20,22,Saturday
2021-05-23,2021,Q2,May,5,20,23,Sunday
2021-05-24,2021,Q2,May,5,21,24,Monday
2021-05-25,2021,Q2,May,5,21,25,Tuesday
2021-05-26,2021,Q2,May,5,21,26,Wednesday
2021-05-27,2021,Q2,May,5,21,27,Thursday
2021-05-28,2021,Q2,May,5,21,28,Friday
2021-05-29,2021,Q2,May,5,21,29,Saturday
2021-05-30,2021,Q2,May,5,21,30,Sunday
2021-05-31,2021,Q2,May,5,22,31,Monday
2021-06-01,2021,Q2,June,6,22,1,Tuesday
2021-06-02,2021,Q2,June,6,22,2,Wednesday
2021-06-03,2021,Q2,June,6,22,3,Thursday
2021-06-04,2021,Q2,June,6,22,4,Friday
2021-06-05,2021,Q2,June,6,22,5,Saturday
2021-06-06,2021,Q2,June,6,22,6,Sunday
2021-06-07,2021,Q2,June,6,23,7,Monday
2021-06-08,2021,Q2,June,6,23,8,Tuesday
2021-06-09,2021,Q2,June,6,23,9,Wednesday
2021-06-10,2021,Q2,June,6,23,10,Thursday
2021-06-11,2021,Q2,June,6,23,11,Friday
2021-06-12,2021,Q2,June,6,23,12,Saturday
2021-06-13,2021,Q2,June,6,23,13,Sunday
2021-06-14,2021,Q2,June,6,24,14,Monday
2021-06-15,2021,Q2,June,6,24,15,Tuesday
2021-06-16,2021,Q2,June,6,24,16,Wednesday
2021-06-17,2021,Q2,June,6,24,17,Thursday
2021-06-18,2021,Q2,June,6,24,18,Friday
2021-06-19,2021,Q2,June,6,24,19,Saturday
2021-06-20,2021,Q2,June,6,24,20,Sunday
2021-06-21,2021,Q2,June,6,25,21,Monday
2021-06-22,2021,Q2,June,6,25,22,Tuesday
2021-06-23,2021,Q2,June,6,25,23,Wednesday
2021-06-24,2021,Q2,June,6,25,24,Thursday
2021-06-25,2021,Q2,June,6,25,25,Friday
2021-06-26,2021,Q2,June,6,25,26,Saturday
2021-06-27,2021,Q2,June,6,25,27,Sunday
2021-06-28,2021,Q2,June,6,26,28,Monday
2021-06-29,2021,Q2,June,6,26,29,Tuesday
2021-06-30,2021,Q2,June,6,26,30,Wednesday
2021-07-01,2021,Q3,July,7,26,1,Thursday
2021-07-02,2021,Q3,July,7,26,2,Friday
2021-07-03,2021,Q3,July,7,26,3,Saturday
2021-07-04,2021,Q3,July,7,26,4,Sunday
2021-07-05,2021,Q3,July,7,27,5,Monday
2021-07-06,2021,Q3,July,7,27,6,Tuesday
2021-07-07,2021,Q3,July,7,27,7,Wednesday
2021-07-08,2021,Q3,July,7,27,8,Thursday
2021-07-09,2021,Q3,July,7,27,9,Friday
2021-07-10,2021,Q3,July,7,27,10,Saturday
2021-07-11,2021,Q3,July,7,27,11,Sunday
2021-07-12,2021,Q3,July,7,28,12,Monday
2021-07-13,2021,Q3,July,7,28,13,Tuesday
2021-07-14,2021,Q3,July,7,28,14,Wednesday
2021-07-15,2021,Q3,July,7,28,15,Thursday
2021-07-16,2021,Q3,July,7,28,16,Friday
2021-07-17,2021,Q3,July,7,28,17,Saturday
2021-07-18,2021,Q3,July,7,28,18,Sunday
2021-07-19,2021,Q3,July,7,29,19,Monday
2021-07-20,2021,Q3,July,7,29,20,Tuesday
2021-07-21,2021,Q3,July,7,29,21,Wednesday
2021-07-22,2021,Q3,July,7,29,22,Thursday
2021-07-23,2021,Q3,July,7,29,23,Friday
2021-07-24,2021,Q3,July,7,29,24,Saturday
2021-07-25,2021,Q3,July,7,29,25,Sunday
2021-07-26,2021,Q3,July,7,30,26,Monday
2021-07-27,2021,Q3,July,7,30,27,Tuesday
2021-07-28,2021,Q3,July,7,30,28,Wednesday
2021-07-29,2021,Q3,July,7,30,29,Thursday
2021-07-30,2021,Q3,July,7,30,30,Friday
2021-07-31,2021,Q3,July,7,30,31,Saturday
2021-08-01,2021,Q3,August,8,30,1,Sunday
2021-08-02,2021,Q3,August,8,31,2,Monday
2021-08-03,2021,Q3,August,8,31,3,Tuesday
2021-08-04,2021,Q3,August,8,31,4,Wednesday
2021-08-05,2021,Q3,August,8,31,5,Thursday
2021-08-06,2021,Q3,August,8,31,6,Friday
2021-08-07,2021,Q3,August,8,31,7,Saturday
2021-08-08,2021,Q3,August,8,31,8,Sunday
2021-08-09,2021,Q3,August,8,32,9,Monday
2021-08-10,2021,Q3,August,8,32,10,Tuesday
2021-08-11,2021,Q3,August,8,32,11,Wednesday
2021-08-12,2021,Q3,August,8,32,12,Thursday
2021-08-13,2021,Q3,August,8,32,13,Friday
2021-08-14,2021,Q3,August,8,32,14,Saturday
2021-08-15,2021,Q3,August,8,32,15,Sunday
2021-08-16,2021,Q3,August,8,33,16,Monday
2021-08-17,2021,Q3,August,8,33,17,Tuesday
2021-08-18,2021,Q3,August,8,33,18,Wednesday
2021-08-19,2021,Q3,August,8,33,19,Thursday
2021-08-20,2021,Q3,August,8,33,20,Friday
2021-08-21,2021,Q3,August,8,33,21,Saturday
2021-08-22,2021,Q3,August,8,33,22,Sunday
2021-08-23,2021,Q3,August,8,34,23,Monday
2021-08-24,2021,Q3,August,8,34,24,Tuesday
2021-08-25,2021,Q3,August,8,34,25,Wednesday
2021-08-26,2021,Q3,August,8,34,26,Thursday
2021-08-27,2021,Q3,August,8,34,27,Friday
2021-08-28,2021,Q3,August,8,34,28,Saturday
2021-08-29,2021,Q3,August,8,34,29,Sunday
2021-08-30,2021,Q3,August,8,35,30,Monday
2021-08-31,2021,Q3,August,8,35,31,Tuesday
2021-09-01,2021,Q3,September,9,35,1,Wednesday
2021-09-02,2021,Q3,September,9,35,2,Thursday
2021-09-03,2021,Q3,September,9,35,3,Friday
2021-09-04,2021,Q3,September,9,35,4,Saturday
2021-09-05,2021,Q3,September,9,35,5,Sunday
2021-09-06,2021,Q3,September,9,36,6,Monday
2021-09-07,2021,Q3,September,9,36,7,Tuesday
2021-09-08,2021,Q3,September,9,36,8,Wednesday
2021-09-09,2021,Q3,September,9,36,9,Thursday
2021-09-10,2021,Q3,September,9,36,10,Friday
2021-09-11,2021,Q3,September,9,36,11,Saturday
2021-09-12,2021,Q3,September,9,36,12,Sunday
2021-09-13,2021,Q3,September,9,37,13,Monday
2021-09-14,2021,Q3,September,9,37,14,Tuesday
2021-09-15,2021,Q3,September,9,37,15,Wednesday
2021-09-16,2021,Q3,September,9,37,16,Thursday
2021-09-17,2021,Q3,September,9,37,17,Friday
2021-09-18,2021,Q3,September,9,37,18,Saturday
2021-09-19,2021,Q3,September,9,37,19,Sunday
2021-09-20,2021,Q3,September,9,38,20,Monday
2021-09-21,2021,Q3,September,9,38,21,Tuesday
2021-09-22,2021,Q3,September,9,38,22,Wednesday
2021-09-23,2021,Q3,September,9,38,23,Thursday
2021-09-24,2021,Q3,September,9,38,24,Friday
2021-09-25,2021,Q3,September,9,38,25,Saturday
2021-09-26,2021,Q3,September,9,38,26,Sunday
2021-09-27,2021,Q3,September,9,39,27,Monday
2021-09-28,2021,Q3,September,9,39,28,Tuesday
2021-09-29,2021,Q3,September,9,39,29,Wednesday
2021-09-30,2021,Q3,September,9,39,30,Thursday
2021-10-01,2021,Q4,October,10,39,1,Friday
2021-10-02,2021,Q4,October,10,39,2,Saturday
2021-10-03,2021,Q4,October,10,39,3,Sunday
2021-10-04,2021,Q4,October,10,40,4,Monday
2021-10-05,2021,Q4,October,10,40,5,Tuesday
2021-10-06,2021,Q4,October,10,40,6,Wednesday
2021-10-07,2021,Q4,October,10,40,7,Thursday
2021-10-08,2021,Q4,October,10,40,8,Friday
2021-10-09,2021,Q4,October,10,40,9,Saturday
2021-10-10,2021,Q4,October,10,40,10,Sunday
2021-10-11,2021,Q4,October,10,41,11,Monday
2021-10-12,2021,Q4,October,10,41,12,Tuesday
2021-10-13,2021,Q4,October,10,41,13,Wednesday
2021-10-14,2021,Q4,October,10,41,14,Thursday
2021-10-15,2021,Q4,October,10,41,15,Friday
2021-10-16,2021,Q4,October,10,41,16,Saturday
2021-10-17,2021,Q4,October,10,41,17,Sunday
2021-10-18,2021,Q4,October,10,42,18,Monday
2021-10-19,2021,Q4,October,10,42,19,Tuesday
2021-10-20,2021,Q4,October,10,42,20,Wednesday
2021-10-21,2021,Q4,October,10,42,21,Thursday
2021-10-22,2021,Q4,October,10,42,22,Friday
2021-10-23,2021,Q4,October,10,42,23,Saturday
2021-10-24,2021,Q4,October,10,42,24,Sunday
2021-10-25,2021,Q4,October,10,43,25,Monday
2021-10-26,2021,Q4,October,10,43,26,Tuesday
2021-10-27,2021,Q4,October,10,43,27,Wednesday
2021-10-28,2021,Q4,October,10,43,28,Thursday
2021-10-29,2021,Q4,October,10,43,29,Friday
2021-10-30,2021,Q4,October,10,43,30,Saturday
2021-10-31,2021,Q4,October,10,43,31,Sunday
2021-11-01,2021,Q4,November,11,44,1,Monday
2021-11-02,2021,Q4,November,11,44,2,Tuesday
2021-11-03,2021,Q4,November,11,44,3,Wednesday
2021-11-04,2021,Q4,November,11,44,4,Thursday
2021-11-05,2021,Q4,November,11,44,5,Friday
2021-11-06,2021,Q4,November,11,44,6,Saturday
2021-11-07,2021,Q4,November,11,44,7,Sunday
2021-11-08,2021,Q4,November,11,45,8,Monday
2021-11-09,2021,Q4,November,11,45,9,Tuesday
2021-11-10,2021,Q4,November,11,45,10,Wednesday
2021-11-11,2021,Q4,November,11,45,11,Thursday
2021-11-12,2021,Q4,November,11,45,12,Friday
2021-11-13,2021,Q4,November,11,45,13,Saturday
2021-11-14,2021,Q4,November,11,45,14,Sunday
2021-11-15,2021,Q4,November,11,46,15,Monday
2021-11-16,2021,Q4,November,11,46,16,Tuesday
2021-11-17,2021,Q4,November,11,46,17,Wednesday
2021-11-18,2021,Q4,November,11,46,18,Thursday
2021-11-19,2021,Q4,November,11,46,19,Friday
2021-11-20,2021,Q4,November,11,46,20,Saturday
2021-11-21,2021,Q4,November,11,46,21,Sunday
2021-11-22,2021,Q4,November,11,47,22,Monday
2021-11-23,2021,Q4,November,11,47,23,Tuesday
2021-11-24,2021,Q4,November,11,47,24,Wednesday
2021-11-25,2021,Q4,November,11,47,25,Thursday
2021-11-26,2021,Q4,November,11,47,26,Friday
2021-11-27,2021,Q4,November,11,47,27,Saturday
2021-11-28,2021,Q4,November,11,47,28,Sunday
2021-11-29,2021,Q4,November,11,48,29,Monday
2021-11-30,2021,Q4,November,11,48,30,Tuesday
2021-12-01,2021,Q4,December,12,48,1,Wednesday
2021-12-02,2021,Q4,December,12,48,2,Thursday
2021-12-03,2021,Q4,December,12,48,3,Friday
2021-12-04,2021,Q4,December,12,48,4,Saturday
2021-12-05,2021,Q4,December,12,48,5,Sunday
2021-12-06,2021,Q4,December,12,49,6,Monday
2021-12-07,2021,Q4,December,12,49,7,Tuesday
2021-12-08,2021,Q4,December,12,49,8,Wednesday
2021-12-09,2021,Q4,December,12,49,9,Thursday
2021-12-10,2021,Q4,December,12,49,10,Friday
2021-12-11,2021,Q4,December,12,49,11,Saturday
2021-12-12,2021,Q4,December,12,49,12,Sunday
2021-12-13,2021,Q4,December,12,50,13,Monday
2021-12-14,2021,Q4,December,12,50,14,Tuesday
2021-12-15,2021,Q4,December,12,50,15,Wednesday
2021-12-16,2021,Q4,December,12,50,16,Thursday
2021-12-17,2021,Q4,December,12,50,17,Friday
2021-12-18,2021,Q4,December,12,50,18,Saturday
2021-12-19,2021,Q4,December,12,50,19,Sunday
2021-12-20,2021,Q4,December,12,51,20,Monday
2021-12-21,2021,Q4,December,12,51,21,Tuesday
2021-12-22,2021,Q4,December,12,51,22,Wednesday
2021-12-23,2021,Q4,December,12,51,23,Thursday
2021-12-24,2021,Q4,December,12,51,24,Friday
2021-12-25,2021,Q4,December,12,51,25,Saturday
2021-12-26,2021,Q4,December,12,51,26,Sunday
2021-12-27,2021,Q4,December,12,52,27,Monday
2021-12-28,2021,Q4,December,12,52,28,Tuesday
2021-12-29,2021,Q4,December,12,52,29,Wednesday
2021-12-30,2021,Q4,December,12,52,30,Thursday
2021-12-31,2021,Q4,December,12,52,31,Friday
2022-01-01,2022,Q1,January,1,52,1,Saturday
2022-01-02,2022,Q1,January,1,52,2,Sunday
2022-01-03,2022,Q1,January,1,1,3,Monday
2022-01-04,2022,Q1,January,1,1,4,Tuesday
2022-01-05,2022,Q1,January,1,1,5,Wednesday
2022-01-06,2022,Q1,January,1,1,6,Thursday
2022-01-07,2022,Q1,January,1,1,7,Friday
2022-01-08,2022,Q1,January,1,1,8,Saturday
2022-01-09,2022,Q1,January,1,1,9,Sunday
2022-01-10,2022,Q1,January,1,2,10,Monday
2022-01-11,2022,Q1,January,1,2,11,Tuesday
2022-01-12,2022,Q1,January,1,2,12,Wednesday
2022-01-13,2022,Q1,January,1,2,13,Thursday
2022-01-14,2022,Q1,January,1,2,14,Friday
2022-01-15,2022,Q1,January,1,2,15,Saturday
2022-01-16,2022,Q1,January,1,2,16,Sunday
2022-01-17,2022,Q1,January,1,3,17,Monday
2022-01-18,2022,Q1,January,1,3,18,Tuesday
2022-01-19,2022,Q1,January,1,3,19,Wednesday
2022-01-20,2022,Q1,January,1,3,20,Thursday
2022-01-21,2022,Q1,January,1,3,21,Friday
2022-01-22,2022,Q1,January,1,3,22,Saturday
2022-01-23,2022,Q1,January,1,3,23,Sunday
2022-01-24,2022,Q1,January,1,4,24,Monday
2022-01-25,2022,Q1,January,1,4,25,Tuesday
2022-01-26,2022,Q1,January,1,4,26,Wednesday
2022-01-27,2022,Q1,January,1,4,27,Thursday
2022-01-28,2022,Q1,January,1,4,28,Friday
2022-01-29,2022,Q1,January,1,4,29,Saturday
2022-01-30,2022,Q1,January,1,4,30,Sunday
2022-01-31,2022,Q1,January,1,5,31,Monday
2022-02-01,2022,Q1,February,2,5,1,Tuesday
2022-02-02,2022,Q1,February,2,5,2,Wednesday
2022-02-03,2022,Q1,February,2,5,3,Thursday
2022-02-04,2022,Q1,February,2,5,4,Friday
2022-02-05,2022,Q1,February,2,5,5,Saturday
2022-02-06,2022,Q1,February,2,5,6,Sunday
2022-02-07,2022,Q1,February,2,6,7,Monday
2022-02-08,2022,Q1,February,2,6,8,Tuesday
2022-02-09,2022,Q1,February,2,6,9,Wednesday
2022-02-10,2022,Q1,February,2,6,10,Thursday
2022-02-11,2022,Q1,February,2,6,11,Friday
2022-02-12,2022,Q1,February,2,6,12,Saturday
2022-02-13,2022,Q1,February,2,6,13,Sunday
2022-02-14,2022,Q1,February,2,7,14,Monday
2022-02-15,2022,Q1,February,2,7,15,Tuesday
2022-02-16,2022,Q1,February,2,7,16,Wednesday
2022-02-17,2022,Q1,February,2,7,17,Thursday
2022-02-18,2022,Q1,February,2,7,18,Friday
2022-02-19,2022,Q1,February,2,7,19,Saturday
2022-02-20,2022,Q1,February,2,7,20,Sunday
2022-02-21,2022,Q1,February,2,8,21,Monday
2022-02-22,2022,Q1,February,2,8,22,Tuesday
2022-02-23,2022,Q1,February,2,8,23,Wednesday
2022-02-24,2022,Q1,February,2,8,24,Thursday
2022-02-25,2022,Q1,February,2,8,25,Friday
2022-02-26,2022,Q1,February,2,8,26,Saturday
2022-02-27,2022,Q1,February,2,8,27,Sunday
2022-02-28,2022,Q1,February,2,9,28,Monday
2022-03-01,2022,Q1,March,3,9,1,Tuesday
2022-03-02,2022,Q1,March,3,9,2,Wednesday
2022-03-03,2022,Q1,March,3,9,3,Thursday
2022-03-04,2022,Q1,March,3,9,4,Friday
2022-03-05,2022,Q1,March,3,9,5,Saturday
2022-03-06,2022,Q1,March,3,9,6,Sunday
2022-03-07,2022,Q1,March,3,10,7,Monday
2022-03-08,2022,Q1,March,3,10,8,Tuesday
2022-03-09,2022,Q1,March,3,10,9,Wednesday
2022-03-10,2022,Q1,March,3,10,10,Thursday
2022-03-11,2022,Q1,March,3,10,11,Friday
2022-03-12,2022,Q1,March,3,10,12,Saturday
2022-03-13,2022,Q1,March,3,10,13,Sunday
2022-03-14,2022,Q1,March,3,11,14,Monday
2022-03-15,2022,Q1,March,3,11,15,Tuesday
2022-03-16,2022,Q1,March,3,11,16,Wednesday
2022-03-17,2022,Q1,March,3,11,17,Thursday
2022-03-18,2022,Q1,March,3,11,18,Friday
2022-03-19,2022,Q1,March,3,11,19,Saturday
2022-03-20,2022,Q1,March,3,11,20,Sunday
2022-03-21,2022,Q1,March,3,12,21,Monday
2022-03-22,2022,Q1,March,3,12,22,Tuesday
2022-03-23,2022,Q1,March,3,12,23,Wednesday
2022-03-24,2022,Q1,March,3,12,24,Thursday
2022-03-25,2022,Q1,March,3,12,25,Friday
2022-03-26,2022,Q1,March,3,12,26,Saturday
2022-03-27,2022,Q1,March,3,12,27,Sunday
2022-03-28,2022,Q1,March,3,13,28,Monday
2022-03-29,2022,Q1,March,3,13,29,Tuesday
2022-03-30,2022,Q1,March,3,13,30,Wednesday
2022-03-31,2022,Q1,March,3,13,31,Thursday
2022-04-01,2022,Q2,April,4,13,1,Friday
2022-04-02,2022,Q2,April,4,13,2,Saturday
2022-04-03,2022,Q2,April,4,13,3,Sunday
2022-04-04,2022,Q2,April,4,14,4,Monday
2022-04-05,2022,Q2,April,4,14,5,Tuesday
2022-04-06,2022,Q2,April,4,14,6,Wednesday
2022-04-07,2022,Q2,April,4,14,7,Thursday
2022-04-08,2022,Q2,April,4,14,8,Friday
2022-04-09,2022,Q2,April,4,14,9,Saturday
2022-04-10,2022,Q2,April,4,14,10,Sunday
2022-04-11,2022,Q2,April,4,15,11,Monday
2022-04-12,2022,Q2,April,4,15,12,Tuesday
2022-04-13,2022,Q2,April,4,15,13,Wednesday
2022-04-14,2022,Q2,April,4,15,14,Thursday
2022-04-15,2022,Q2,April,4,15,15,Friday
2022-04-16,2022,Q2,April,4,15,16,Saturday
2022-04-17,2022,Q2,April,4,15,17,Sunday
2022-04-18,2022,Q2,April,4,16,18,Monday
2022-04-19,2022,Q2,April,4,16,19,Tuesday
2022-04-20,2022,Q2,April,4,16,20,Wednesday
2022-04-21,2022,Q2,April,4,16,21,Thursday
2022-04-22,2022,Q2,April,4,16,22,Friday
2022-04-23,2022,Q2,April,4,16,23,Saturday
2022-04-24,2022,Q2,April,4,16,24,Sunday
2022-04-25,2022,Q2,April,4,17,25,Monday
2022-04-26,2022,Q2,April,4,17,26,Tuesday
2022-04-27,2022,Q2,April,4,17,27,Wednesday
2022-04-28,2022,Q2,April,4,17,28,Thursday
2022-04-29,2022,Q2,April,4,17,29,Friday
2022-04-30,2022,Q2,April,4,17,30,Saturday
2022-05-01,2022,Q2,May,5,17,1,Sunday
2022-05-02,2022,Q2,May,5,18,2,Monday
2022-05-03,2022,Q2,May,5,18,3,Tuesday
2022-05-04,2022,Q2,May,5,18,4,Wednesday
2022-05-05,2022,Q2,May,5,18,5,Thursday
2022-05-06,2022,Q2,May,5,18,6,Friday
2022-05-07,2022,Q2,May,5,18,7,Saturday
2022-05-08,2022,Q2,May,5,18,8,Sunday
2022-05-09,2022,Q2,May,5,19,9,Monday
2022-05-10,2022,Q2,May,5,19,10,Tuesday
2022-05-11,2022,Q2,May,5,19,11,Wednesday
2022-05-12,2022,Q2,May,5,19,12,Thursday
2022-05-13,2022,Q2,May,5,19,13,Friday
2022-05-14,2022,Q2,May,5,19,14,Saturday
2022-05-15,2022,Q2,May,5,19,15,Sunday
2022-05-16,2022,Q2,May,5,20,16,Monday
2022-05-17,2022,Q2,May,5,20,17,Tuesday
2022-05-18,2022,Q2,May,5,20,18,Wednesday
2022-05-19,2022,Q2,May,5,20,19,Thursday
2022-05-20,2022,Q2,May,5,20,20,Friday
2022-05-21,2022,Q2,May,5,20,21,Saturday
2022-05-22,2022,Q2,May,5,20,22,Sunday
2022-05-23,2022,Q2,May,5,21,23,Monday
2022-05-24,2022,Q2,May,5,21,24,Tuesday
2022-05-25,2022,Q2,May,5,21,25,Wednesday
2022-05-26,2022,Q2,May,5,21,26,Thursday
2022-05-27,2022,Q2,May,5,21,27,Friday
2022-05-28,2022,Q2,May,5,21,28,Saturday
2022-05-29,2022,Q2,May,5,21,29,Sunday
2022-05-30,2022,Q2,May,5,22,30,Monday
2022-05-31,2022,Q2,May,5,22,31,Tuesday
